"","p1_depth","p2_depth","result","time","0","1","2","3","4","5","6","7","8","9"
1077,8,9,"draw",4.148280651999812,"         ","    x    ","    x o  ","   xx o  ","   xxoo  "," x xxoo  "," x xxooo "," x xxooox","ox xxooox","oxxxxooox"
1078,8,9,"draw",4.074245154999971,"         ","    x    ","    x   o","x   x   o","x   x o o","x   x oxo","xo  x oxo","xox x oxo","xox xooxo","xoxxxooxo"
1079,8,9,"draw",4.12028949799992,"         ","    x    ","  o x    ","  oxx    ","  oxxo   ","  oxxo  x","o oxxo  x","oxoxxo  x","oxoxxo ox","oxoxxoxox"
1080,9,1,"x",4.412758491999966,"         ","      x  ","    o x  ","   xo x  ","  oxo x  ","  oxo x x","o oxo x x","o oxo xxx","",""
1081,9,1,"x",4.34240553199993,"         ","  x      ","  x o    ","  x ox   ","  x oxo  ","x x oxo  ","x x oxo o","xxx oxo o","",""
1082,9,1,"x",4.487651566000068,"         ","x        ","x   o    ","xx  o    ","xx  o   o","xx  o x o","xxo o x o","xxoxo x o","",""
1083,9,1,"x",4.3927530200001,"         ","     x   ","    ox   "," x  ox   "," x  oxo  "," xx oxo  "," xx oxo o","xxx oxo o","",""
1084,9,1,"x",4.419272184999954,"         ","      x  ","    o x  ","    o xx ","    o xxo","x   o xxo","x o o xxo","x oxo xxo","",""
1085,9,1,"x",4.358545392999986,"         ","    x    ","    x   o","   xx   o","  oxx   o","  oxxx  o","","","",""
1086,9,1,"x",4.366230013000177,"         ","     x   ","    ox   ","    oxx  ","o   oxx  ","o   oxx x","o o oxx x","o o oxxxx","",""
1087,9,1,"x",4.340074428999969,"         ","        x","    o   x","    o x x","o   o x x","o x o x x","o x oox x","o x ooxxx","",""
1088,9,1,"x",4.340378347999831,"         ","     x   ","    ox   ","    ox x ","    oxox ","  x oxox ","o x oxox ","o x oxoxx","",""
1089,9,1,"x",4.319798976000129,"         "," x       "," x  o    "," xx o    "," xx o   o","xxx o   o","","","",""
1090,9,1,"x",4.302984079999987,"         "," x       "," x  o    "," x  o x  "," x  o x o","xx  o x o","xxo o x o","xxoxo x o","",""
1091,9,1,"x",4.326883131000159,"         ","   x     ","   xo    ","x  xo    ","x  xo o  ","x xxo o  ","x xxo o o","xxxxo o o","",""
1092,9,1,"x",4.330030910999994,"         ","    x    ","    x o  ","  x x o  ","  x x o o","  x x oxo","o x x oxo","o xxx oxo","o xxxooxo","oxxxxooxo"
1093,9,1,"x",4.282531195000047,"         ","       x ","    o  x ","x   o  x ","x o o  x ","x o o xx ","x o o xxo","x oxo xxo","",""
1094,9,1,"x",4.29374790199995,"         ","  x      ","  x o    "," xx o    "," xx o   o","xxx o   o","","","",""
