,reward
918,11
919,-200
920,9
921,12
922,-200
923,-200
924,-200
925,-200
926,-200
927,11
928,8
929,-200
930,-200
931,-200
932,-200
933,-200
934,-200
935,-200
936,-200
937,6
938,-200
939,-200
940,-200
941,-200
942,-200
943,-200
944,-200
945,-200
946,-200
947,-200
948,9
949,-200
950,-200
951,11
952,7
953,-200
954,-200
955,-200
956,-200
957,-200
958,-200
959,-200
960,-200
961,-200
962,7
963,-200
964,8
965,-200
966,-200
967,9
968,-200
969,-200
970,9
971,-200
972,-200
973,-200
974,-200
975,7
976,10
977,9
978,-200
979,-200
980,-200
981,-200
982,-200
983,-200
984,-200
985,-200
986,-200
987,-200
988,-200
989,-200
990,-200
991,-200
992,6
993,-200
994,-200
995,-200
996,15
997,-200
998,-200
999,-200
